default		00:00:07.046	7.046	00:00:07.468	7.468	00:00:00.422	0.422	up1
Channel2		00:00:00.000	0.0	00:00:02.940	2.94	00:00:02.940	2.94	and then, how do I start this?
Channel2		00:00:03.920	3.92	00:00:07.620	7.62	00:00:03.700	3.7	alright, october first, one o clock, game number ten, sync, up
Channel2		00:00:07.860	7.86	00:00:09.100	9.1	00:00:01.240	1.24	up, up
Channel2		00:00:09.520	9.52	00:00:10.740	10.74	00:00:01.220	1.22	up, okay
Channel2		00:00:10.980	10.98	00:00:25.660	25.66	00:00:14.680	14.68	hei, hei, hello, hi, what's your name? luisis? eulisis? alright, nice to meet you man, have you played this game before? okay then, do you wanna be water boy or you wanna be fire boy? oh, i mean water girl.
Channel2		00:00:26.080	26.08	00:00:29.280	29.28	00:00:03.200	3.2	alright, you ne[[ed]], you do the, you need the arrow keys
Channel2		00:00:30.500	30.5	00:00:33.940	33.94	00:00:03.440	3.44	alright, then, yeah, if you know what to do then, we're good
Channel2		00:00:34.280	34.28	00:00:34.500	34.5	00:00:00.220	0.22	xx
Channel2		00:00:35.040	35.04	00:00:37.220	37.22	00:00:02.180	2.18	may be we'll finish this game
Channel2		00:00:39.840	39.84	00:00:44.920	44.92	00:00:05.080	5.08	yeah, it's, that's all you need; it's left, up and right. he does not down
Channel2		00:00:45.740	45.74	00:00:46.280	46.28	00:00:00.540	0.54	xx
Channel2		00:00:51.160	51.16	00:00:51.800	51.8	00:00:00.640	0.64	xx
Channel2		00:00:52.040	52.04	00:00:52.120	52.12	00:00:00.080	0.08	xx
Channel2		00:00:56.620	56.62	00:01:02.560	62.56	00:00:05.940	5.94	yeah, ge[[t]], get on the, get on the ledge, cause i'm pressing it down with the button
Channel2		00:01:03.440	63.44	00:01:04.920	64.92	00:00:01.480	1.48	okay, i'll get on it first
Channel2		00:01:05.220	65.22	00:01:05.320	65.32	00:00:00.100	0.1	xx
Channel2		00:01:07.000	67.0	00:01:07.440	67.44	00:00:00.440	0.44	yeah
Channel2		00:01:08.060	68.06	00:01:08.900	68.9	00:00:00.840	0.84	i go
Channel2		00:01:09.200	69.2	00:01:11.900	71.9	00:00:02.700	2.7	yeah, that way it goes up, and then i'll push the button over here
Channel2		00:01:12.120	72.12	00:01:12.420	72.42	00:00:00.300	0.3	xx
