Channel2		00:00:00.000	0.0	00:00:00.320	0.32	00:00:00.320	0.32	xx
Channel2		00:00:00.540	0.54	00:00:01.000	1.0	00:00:00.460	0.46	xx
Channel2		00:00:01.460	1.46	00:00:05.860	5.86	00:00:04.400	4.4	october eight, twelve thirty A, game number twenty one
Channel2		00:00:06.100	6.1	00:00:06.420	6.42	00:00:00.320	0.32	xx
Channel2		00:00:07.640	7.64	00:00:09.380	9.38	00:00:01.740	1.74	sync with up
Channel2		00:00:10.020	10.02	00:00:10.420	10.42	00:00:00.400	0.4	up
Channel2		00:00:10.920	10.92	00:00:11.020	11.02	00:00:00.100	0.1	xx
Channel2		00:00:12.280	12.28	00:00:12.380	12.38	00:00:00.100	0.1	xx
Channel2		00:00:12.700	12.7	00:00:13.260	13.26	00:00:00.560	0.56	xx
Channel2		00:00:13.800	13.8	00:00:26.940	26.94	00:00:13.140	13.14	all right, hello, hi, what's your name man? ruben, ruben have you played this game before? nah? all right. it's called fire boy and water girl. And then you, you, basically get an option, do you wanna be water girl, do you wanna be fire boy?
Channel2		00:00:27.240	27.24	00:00:46.040	46.04	00:00:18.800	18.8	all right, so you're gonna use the arrow keys to move left, right, and up to jump. all right so the main, the main purpose of this game we have to get to those doors at the top right corner. you see them? all right, yeah we've to get up there. so since you're fire boy, you can walk straight through the red water, and since i'm water and you can't touch the blue water so you have to jump over that
Channel2		00:00:46.480	46.48	00:00:48.480	48.48	00:00:02.000	2.0	and it's inverted for me
Channel2		00:00:48.860	48.86	00:00:52.420	52.42	00:00:03.560	3.56	xx
Channel2		00:00:53.320	53.32	00:00:56.100	56.1	00:00:02.780	2.78	and then this green water neither of us can touch it so we both have to jump over it
Channel2		00:00:56.400	56.4	00:00:56.480	56.48	00:00:00.080	0.08	xx
Channel2		00:00:57.300	57.3	00:00:57.500	57.5	00:00:00.200	0.2	all right
Channel2		00:00:58.460	58.46	00:01:03.220	63.22	00:00:04.760	4.76	so through out the game there are these levers that when you turn them like it'll move things in the stage
Channel2		00:01:03.460	63.46	00:01:09.000	69.0	00:00:05.540	5.54	and the lever, when you move a lever it'll stay, unlike these buttons do the same things but someone has to stay standing on them
Channel2		00:01:09.400	69.4	00:01:09.460	69.46	00:00:00.060	0.06	xx
Channel2		00:01:09.820	69.82	00:01:17.700	77.7	00:00:07.880	7.88	so you see how i stand on the button that lever moves up, the ledge moves up over there. all right, so go over there so you can get up. and then the button up there you're gonna press so i can get up
Channel2		00:01:17.920	77.92	00:01:18.460	78.46	00:00:00.540	0.54	xx
Channel2		00:01:18.880	78.88	00:01:19.120	79.12	00:00:00.240	0.24	xx
Channel2		00:01:24.620	84.62	00:01:24.920	84.92	00:00:00.300	0.3	[nl]
