default		00:04:38.928	278.928	00:04:39.360	279.36	00:00:00.432	0.432	let's try again
Channel2		00:00:00.000	0.0	00:00:01.640	1.64	00:00:01.640	1.64	xx
Channel2		00:00:03.020	3.02	00:00:05.280	5.28	00:00:02.260	2.26	today is nine twenty nine
Channel2		00:00:06.380	6.38	00:00:10.460	10.46	00:00:04.080	4.08	twelve twe[[nty]], twelve eighteen, game number four, synching media, pre-[ssing]
Channel2		00:00:11.080	11.08	00:00:11.260	11.26	00:00:00.180	0.18	up
Channel2		00:00:12.060	12.06	00:00:12.140	12.14	00:00:00.080	0.08	okay
Channel2		00:00:12.440	12.44	00:00:13.740	13.74	00:00:01.300	1.3	have you played this game before, philippe?
Channel2		00:00:14.580	14.58	00:00:14.940	14.94	00:00:00.360	0.36	have you played this -[game]
Channel2		00:00:15.160	15.16	00:00:15.600	15.6	00:00:00.440	0.44	before?
Channel2		00:00:16.640	16.64	00:00:18.640	18.64	00:00:02.000	2.0	-[s]o first of all, do you wanna be the boy or do you wanna be the girl?
Channel2		00:00:20.320	20.32	00:00:22.240	22.24	00:00:01.920	1.92	alright so you are gonna use this arrow keys to move
Channel2		00:00:22.960	22.96	00:00:24.480	24.48	00:00:01.520	1.52	left up in, left up right
Channel2		00:00:26.620	26.62	00:00:26.720	26.72	00:00:00.100	0.1	right
Channel2		00:00:28.820	28.82	00:00:30.360	30.36	00:00:01.540	1.54	oh no that's for the girl
Channel2		00:00:31.200	31.2	00:00:31.560	31.56	00:00:00.360	0.36	-[a, w, d is for the g]irl
Channel2		00:00:32.680	32.68	00:00:33.920	33.92	00:00:01.240	1.24	okay the water girl
Channel2		00:00:35.200	35.2	00:00:40.180	40.18	00:00:04.980	4.98	alright so, we so, the basi[[c]], basically this game we have to get to the door in the top right
Channel2		00:00:41.000	41.0	00:00:41.080	41.08	00:00:00.080	0.08	alright
Channel2		00:00:41.320	41.32	00:00:44.560	44.56	00:00:03.240	3.24	-[so] you so you move and since you are the water girl, you can't touch the
Channel2		00:00:45.060	45.06	00:00:47.400	47.4	00:00:02.340	2.34	-[the] red water, and since i am the fire boy, i can't, touch the 
